,latitude,longitude,address,birth_place
aleksandar radojevic,-29.6826112,-51.4687455,"Montenegro, Microrregião de Montenegro, Região Metropolitana de Porto Alegre, Mesorregião Metropolitana de Porto Alegre, RS, Região Sul, 95780-000, Brasil",Montenegro
alex abrines,40.0028028,-4.003104,España,Spain
alex acker,36.7014631,-118.7559974,"California, United States of America",California
alex blackwell,40.0757384,-74.4041622,"New Jersey, United States of America",New Jersey
alex bradley,27.7567667,-81.4639835,"Florida, United States of America",Florida
alex caruso,31.8160381,-99.5120986,"Texas, United States of America",Texas
alex english,33.6874388,-80.4363743,"South Carolina, United States of America",South Carolina
alex garcia,-10.3333333,-53.2,Brasil,Brazil
alex groza,40.2253569,-82.6881395,"Ohio, United States of America",Ohio
alex hannum,36.7014631,-118.7559974,"California, United States of America",California
alex kirk,34.5708167,-105.993007,"New Mexico, United States of America",New Mexico
alex len,49.4871968,31.2718321,Україна,Ukraine
alex poythress,32.3293809,-83.1137366,"Georgia, United States of America",Georgia
alex scales,44.4308975,-89.6884637,"Wisconsin, United States of America",Wisconsin
alex stepheson,36.7014631,-118.7559974,"California, United States of America",California
alex stivrins,41.7370229,-99.5873816,"Nebraska, United States of America",Nebraska
alexander johnson,32.3293809,-83.1137366,"Georgia, United States of America",Georgia
alexander volkov,64.6863136,97.7453061,РФ,Russia
alexey shved,64.6863136,97.7453061,РФ,Russia
alexis ajinca,46.603354,1.8883335,"France métropolitaine, France",France
alfonzo mckinnie,40.0796319,-89.4339809,"Illinois, United States of America",Illinois
alfred mcguire,40.7306458,-73.9866136,"NYC, New York, United States of America",New York
alfredrick hughes,40.0796319,-89.4339809,"Illinois, United States of America",Illinois
allan bristow,37.1232245,-78.4927721,"Virginia, United States of America",Virginia
allan houston,37.5726028,-85.1551411,"Kentucky, United States of America",Kentucky
allan ray,40.7306458,-73.9866136,"NYC, New York, United States of America",New York
allen crabbe,36.7014631,-118.7559974,"California, United States of America",California
allen iverson,37.1232245,-78.4927721,"Virginia, United States of America",Virginia
allen leavell,40.3270127,-86.1746933,"Indiana, United States of America",Indiana
allen murphy,33.2588817,-86.8295337,"Alabama, United States of America",Alabama
allie mcguire,40.7306458,-73.9866136,"NYC, New York, United States of America",New York
alonzo bradley,32.9715645,-89.7348497,"Mississippi, United States of America",Mississippi
alonzo gee,27.7567667,-81.4639835,"Florida, United States of America",Florida
alonzo mourning,37.1232245,-78.4927721,"Virginia, United States of America",Virginia
alphonso ford,32.9715645,-89.7348497,"Mississippi, United States of America",Mississippi
alton ford,31.8160381,-99.5120986,"Texas, United States of America",Texas
alton lister,31.8160381,-99.5120986,"Texas, United States of America",Texas
alvan adams,38.27312,-98.5821872,"Kansas, United States of America",Kansas
alvin heggs,27.7567667,-81.4639835,"Florida, United States of America",Florida
alvin jones,49.963667,5.43991862540759,"Luxembourg, Wallonie, België - Belgique - Belgien",Luxembourg
alvin robertson,40.2253569,-82.6881395,"Ohio, United States of America",Ohio
alvin scott,35.7730076,-86.2820081,"Tennessee, United States of America",Tennessee
alvin sims,37.5726028,-85.1551411,"Kentucky, United States of America",Kentucky
alvin williams,40.9699889,-77.7278831,"Pennsylvania, United States of America",Pennsylvania
amal mccaskill,40.0796319,-89.4339809,"Illinois, United States of America",Illinois
amare stoudemire,27.7567667,-81.4639835,"Florida, United States of America",Florida
amir johnson,36.7014631,-118.7559974,"California, United States of America",California
anderson varejao,-10.3333333,-53.2,Brasil,Brazil
andrae patterson,36.7014631,-118.7559974,"California, United States of America",California
andray blatche,40.7306458,-73.9866136,"NYC, New York, United States of America",New York
andre barrett,40.7306458,-73.9866136,"NYC, New York, United States of America",New York
andre brown,40.0796319,-89.4339809,"Illinois, United States of America",Illinois
andre dawkins,37.1232245,-78.4927721,"Virginia, United States of America",Virginia
andre drummond,40.7306458,-73.9866136,"NYC, New York, United States of America",New York
andre emmett,31.8160381,-99.5120986,"Texas, United States of America",Texas
andre iguodala,40.0796319,-89.4339809,"Illinois, United States of America",Illinois
andre mccarter,40.9699889,-77.7278831,"Pennsylvania, United States of America",Pennsylvania
andre miller,36.7014631,-118.7559974,"California, United States of America",California
andre moore,40.0796319,-89.4339809,"Illinois, United States of America",Illinois
andre owens,40.3270127,-86.1746933,"Indiana, United States of America",Indiana
andre roberson,34.5708167,-105.993007,"New Mexico, United States of America",New Mexico
andre spencer,36.7014631,-118.7559974,"California, United States of America",California
andre turner,35.7730076,-86.2820081,"Tennessee, United States of America",Tennessee
andre wakefield,40.0796319,-89.4339809,"Illinois, United States of America",Illinois
andrea bargnani,42.6384261,12.674297,Italia,Italy
andreas glyniadakis,38.9953683,21.9877132,Ελλάδα,Greece
andrei kirilenko,64.6863136,97.7453061,РФ,Russia
andres guibert,23.0131338,-80.8328748,Cuba,Cuba
andres nocioni,-34.9964963,-64.9672817,Argentina,Argentina
andrew bogut,-24.7761086,134.755,Australia,Australia
andrew bynum,40.0757384,-74.4041622,"New Jersey, United States of America",New Jersey
andrew declercq,43.6211955,-84.6824346,"Michigan, United States of America",Michigan
andrew gaze,-24.7761086,134.755,Australia,Australia
andrew goudelock,32.3293809,-83.1137366,"Georgia, United States of America",Georgia
andrew harrison,31.8160381,-99.5120986,"Texas, United States of America",Texas
andrew lang,35.2048883,-92.4479108,"Arkansas, United States of America",Arkansas
andrew levane,40.7306458,-73.9866136,"NYC, New York, United States of America",New York
andrew nicholson,61.0666922,-107.9917071,Canada,Canada
andrew toney,33.2588817,-86.8295337,"Alabama, United States of America",Alabama
andrew wiggins,61.0666922,-107.9917071,Canada,Canada
andris biedrins,56.8406494,24.7537645,Latvija,Latvia
andy johnson,36.7014631,-118.7559974,"California, United States of America",California
andy panko,40.9699889,-77.7278831,"Pennsylvania, United States of America",Pennsylvania
andy phillip,40.0796319,-89.4339809,"Illinois, United States of America",Illinois
andy rautins,40.7306458,-73.9866136,"NYC, New York, United States of America",New York
andy toolson,40.0796319,-89.4339809,"Illinois, United States of America",Illinois
andy walker,40.7306458,-73.9866136,"NYC, New York, United States of America",New York
anfernee hardaway,35.7730076,-86.2820081,"Tennessee, United States of America",Tennessee
ansu sesay,35.6729639,-79.0392919,"North Carolina, United States of America",North Carolina
antawn jamison,30.8703881,-92.007126,"Louisiana, United States of America",Louisiana
ante zizic,45.5643442,17.0118954,Hrvatska,Croatia
anthony avent,35.6729639,-79.0392919,"North Carolina, United States of America",North Carolina
anthony bennett,61.0666922,-107.9917071,Canada,Canada
anthony bonner,38.7604815,-92.5617875,"Missouri, United States of America",Missouri
anthony bowie,34.9550817,-97.2684063,"Oklahoma, United States of America",Oklahoma
anthony brown,36.7014631,-118.7559974,"California, United States of America",California
anthony carter,44.4308975,-89.6884637,"Wisconsin, United States of America",Wisconsin
anthony cook,36.7014631,-118.7559974,"California, United States of America",California
anthony davis,40.0796319,-89.4339809,"Illinois, United States of America",Illinois
anthony frederick,36.7014631,-118.7559974,"California, United States of America",California
anthony goldwire,27.7567667,-81.4639835,"Florida, United States of America",Florida
anthony grundy,37.5726028,-85.1551411,"Kentucky, United States of America",Kentucky
anthony johnson,33.6874388,-80.4363743,"South Carolina, United States of America",South Carolina
anthony jones,38.8949549,-77.0366456,"Washington, District of Columbia, United States of America",District of Columbia
anthony mason,27.7567667,-81.4639835,"Florida, United States of America",Florida
anthony miller,43.6211955,-84.6824346,"Michigan, United States of America",Michigan
anthony morrow,35.6729639,-79.0392919,"North Carolina, United States of America",North Carolina
anthony parker,40.0796319,-89.4339809,"Illinois, United States of America",Illinois
anthony peeler,38.7604815,-92.5617875,"Missouri, United States of America",Missouri
anthony pullard,30.8703881,-92.007126,"Louisiana, United States of America",Louisiana
anthony randolph,51.0834196,10.4234469,"Deutschland, Europe",Germany
anthony roberson,43.6211955,-84.6824346,"Michigan, United States of America",Michigan
anthony roberts,35.7730076,-86.2820081,"Tennessee, United States of America",Tennessee
anthony taylor,36.7014631,-118.7559974,"California, United States of America",California
anthony tolliver,38.7604815,-92.5617875,"Missouri, United States of America",Missouri
anthony tucker,38.8949549,-77.0366456,"Washington, District of Columbia, United States of America",District of Columbia
antoine carr,34.9550817,-97.2684063,"Oklahoma, United States of America",Oklahoma
antoine rigaudeau,46.603354,1.8883335,"France métropolitaine, France",France
antoine walker,40.0796319,-89.4339809,"Illinois, United States of America",Illinois
antoine wright,36.7014631,-118.7559974,"California, United States of America",California
antonio anderson,42.3788774,-72.032366,"Massachusetts, United States of America",Massachusetts
antonio blakeney,40.7306458,-73.9866136,"NYC, New York, United States of America",New York
antonio burks,35.7730076,-86.2820081,"Tennessee, United States of America",Tennessee
antonio daniels,40.2253569,-82.6881395,"Ohio, United States of America",Ohio
antonio davis,36.7014631,-118.7559974,"California, United States of America",California
antonio harvey,32.9715645,-89.7348497,"Mississippi, United States of America",Mississippi
antonio lang,33.2588817,-86.8295337,"Alabama, United States of America",Alabama
antonio mcdyess,32.9715645,-89.7348497,"Mississippi, United States of America",Mississippi
antonis fotsis,38.9953683,21.9877132,Ελλάδα,Greece
antonius cleveland,35.7730076,-86.2820081,"Tennessee, United States of America",Tennessee
archie clark,35.2048883,-92.4479108,"Arkansas, United States of America",Arkansas
archie dees,32.9715645,-89.7348497,"Mississippi, United States of America",Mississippi
archie goodwin,35.2048883,-92.4479108,"Arkansas, United States of America",Arkansas
ariel maughan,39.4225192,-111.7143584,"Utah, United States of America",Utah
arinze onuaku,39.5162234,-76.9382069,"Maryland, United States of America",Maryland
armen gilliam,40.9699889,-77.7278831,"Pennsylvania, United States of America",Pennsylvania
armon johnson,40.0796319,-89.4339809,"Illinois, United States of America",Illinois
armond hill,40.7306458,-73.9866136,"NYC, New York, United States of America",New York
arnett moultrie,40.7306458,-73.9866136,"NYC, New York, United States of America",New York
arnie ferrin,39.4225192,-111.7143584,"Utah, United States of America",Utah
arnie johnson,45.9896587,-94.6113288,"Minnesota, United States of America",Minnesota
arnie risen,37.5726028,-85.1551411,"Kentucky, United States of America",Kentucky
aron baynes,-41.5000831,172.8344077,New Zealand/Aotearoa,New Zealand
arron afflalo,36.7014631,-118.7559974,"California, United States of America",California
art collins,32.3293809,-83.1137366,"Georgia, United States of America",Georgia
art heyman,40.7306458,-73.9866136,"NYC, New York, United States of America",New York
art long,40.7306458,-73.9866136,"NYC, New York, United States of America",New York
art spector,40.9699889,-77.7278831,"Pennsylvania, United States of America",Pennsylvania
art williams,31.8160381,-99.5120986,"Texas, United States of America",Texas
artis gilmore,27.7567667,-81.4639835,"Florida, United States of America",Florida
arvid kramer,45.9896587,-94.6113288,"Minnesota, United States of America",Minnesota
arvydas macijauskas,55.3500003,23.7499997,Lietuva,Lithuania
arvydas sabonis,55.3500003,23.7499997,Lietuva,Lithuania
ashraf amaya,40.0796319,-89.4339809,"Illinois, United States of America",Illinois
askia jones,40.9699889,-77.7278831,"Pennsylvania, United States of America",Pennsylvania
audie norris,32.9715645,-89.7348497,"Mississippi, United States of America",Mississippi
austin carr,38.8949549,-77.0366456,"Washington, District of Columbia, United States of America",District of Columbia
austin croshere,36.7014631,-118.7559974,"California, United States of America",California
austin daye,36.7014631,-118.7559974,"California, United States of America",California
austin rivers,36.7014631,-118.7559974,"California, United States of America",California
avery bradley,38.8949549,-77.0366456,"Washington, District of Columbia, United States of America",Washington
avery johnson,30.8703881,-92.007126,"Louisiana, United States of America",Louisiana
awvee storey,40.0796319,-89.4339809,"Illinois, United States of America",Illinois
axel toupane,46.603354,1.8883335,"France métropolitaine, France",France
bailey howell,35.7730076,-86.2820081,"Tennessee, United States of America",Tennessee
bam adebayo,40.0757384,-74.4041622,"New Jersey, United States of America",New Jersey
baron davis,36.7014631,-118.7559974,"California, United States of America",California
barry clemens,40.2253569,-82.6881395,"Ohio, United States of America",Ohio
barry kramer,40.7306458,-73.9866136,"NYC, New York, United States of America",New York
barry orms,38.7604815,-92.5617875,"Missouri, United States of America",Missouri
barry stevens,43.6211955,-84.6824346,"Michigan, United States of America",Michigan
barry sumpter,40.0796319,-89.4339809,"Illinois, United States of America",Illinois
bart kofoed,41.7370229,-99.5873816,"Nebraska, United States of America",Nebraska
bayard forrest,36.7014631,-118.7559974,"California, United States of America",California
belus smawley,35.6729639,-79.0392919,"North Carolina, United States of America",North Carolina
ben bentil,8.0300284,-1.0800271,Ghana,Ghana
ben clyde,32.3293809,-83.1137366,"Georgia, United States of America",Georgia
ben coleman,45.9896587,-94.6113288,"Minnesota, United States of America",Minnesota
ben davis,27.7567667,-81.4639835,"Florida, United States of America",Florida
ben gillery,43.6211955,-84.6824346,"Michigan, United States of America",Michigan
ben gordon,25.2232283,55.1594933008754,"United Kingdom, دبي, دبي‎, الإمارات العربيّة المتّحدة",United Kingdom
ben handlogten,43.6211955,-84.6824346,"Michigan, United States of America",Michigan
ben hansbrough,38.7604815,-92.5617875,"Missouri, United States of America",Missouri
ben mcdonald,36.7014631,-118.7559974,"California, United States of America",California
ben mclemore,38.7604815,-92.5617875,"Missouri, United States of America",Missouri
ben poquette,43.6211955,-84.6824346,"Michigan, United States of America",Michigan
ben simmons,-24.7761086,134.755,Australia,Australia
ben uzoh,31.8160381,-99.5120986,"Texas, United States of America",Texas
ben wallace,33.2588817,-86.8295337,"Alabama, United States of America",Alabama
ben warley,38.8949549,-77.0366456,"Washington, District of Columbia, United States of America",District of Columbia
beno udrih,45.8133113,14.4808369,Slovenija,Slovenia
benoit benjamin,30.8703881,-92.007126,"Louisiana, United States of America",Louisiana
bernard james,32.3293809,-83.1137366,"Georgia, United States of America",Georgia
bernard king,40.7306458,-73.9866136,"NYC, New York, United States of America",New York
bernard robinson,38.8949549,-77.0366456,"Washington, District of Columbia, United States of America",District of Columbia
bernard thompson,34.395342,-111.7632755,"Arizona, United States of America",Arizona
bernard toone,40.7306458,-73.9866136,"NYC, New York, United States of America",New York
bernie fryer,38.8949549,-77.0366456,"Washington, District of Columbia, United States of America",Washington
bernie harris,37.1232245,-78.4927721,"Virginia, United States of America",Virginia
bernie williams,38.8949549,-77.0366456,"Washington, District of Columbia, United States of America",District of Columbia
bevo nordmann,38.7604815,-92.5617875,"Missouri, United States of America",Missouri
bill bradley,38.7604815,-92.5617875,"Missouri, United States of America",Missouri
bill bridges,34.5708167,-105.993007,"New Mexico, United States of America",New Mexico
bill buntin,43.6211955,-84.6824346,"Michigan, United States of America",Michigan
bill calhoun,36.7014631,-118.7559974,"California, United States of America",California
bill cartwright,36.7014631,-118.7559974,"California, United States of America",California
bill closs,31.8160381,-99.5120986,"Texas, United States of America",Texas
bill curley,42.3788774,-72.032366,"Massachusetts, United States of America",Massachusetts
bill edwards,40.2253569,-82.6881395,"Ohio, United States of America",Ohio
bill gabor,40.7306458,-73.9866136,"NYC, New York, United States of America",New York
bill garnett,38.7604815,-92.5617875,"Missouri, United States of America",Missouri
bill hanzlik,40.2253569,-82.6881395,"Ohio, United States of America",Ohio
bill henry,31.8160381,-99.5120986,"Texas, United States of America",Texas
bill hewitt,42.3788774,-72.032366,"Massachusetts, United States of America",Massachusetts
bill hosket,40.2253569,-82.6881395,"Ohio, United States of America",Ohio
bill jones,43.6211955,-84.6824346,"Michigan, United States of America",Michigan
bill laimbeer,42.3788774,-72.032366,"Massachusetts, United States of America",Massachusetts
bill ligon,35.7730076,-86.2820081,"Tennessee, United States of America",Tennessee
bill martin,38.8949549,-77.0366456,"Washington, District of Columbia, United States of America",District of Columbia
bill mayfield,43.6211955,-84.6824346,"Michigan, United States of America",Michigan
bill mcgill,31.8160381,-99.5120986,"Texas, United States of America",Texas
bill melchionni,40.9699889,-77.7278831,"Pennsylvania, United States of America",Pennsylvania
bill mlkvy,40.9699889,-77.7278831,"Pennsylvania, United States of America",Pennsylvania
bill roberts,40.3270127,-86.1746933,"Indiana, United States of America",Indiana
bill robinzine,40.0796319,-89.4339809,"Illinois, United States of America",Illinois
bill russell,30.8703881,-92.007126,"Louisiana, United States of America",Louisiana
bill sharman,31.8160381,-99.5120986,"Texas, United States of America",Texas
bill tosheff,40.3270127,-86.1746933,"Indiana, United States of America",Indiana
bill walton,36.7014631,-118.7559974,"California, United States of America",California
bill wennington,61.0666922,-107.9917071,Canada,Canada
bill willoughby,40.0757384,-74.4041622,"New Jersey, United States of America",New Jersey
billy cunningham,40.7306458,-73.9866136,"NYC, New York, United States of America",New York
billy donovan,40.7306458,-73.9866136,"NYC, New York, United States of America",New York
billy kenville,40.7306458,-73.9866136,"NYC, New York, United States of America",New York
billy knight,40.9699889,-77.7278831,"Pennsylvania, United States of America",Pennsylvania
billy mckinney,40.0796319,-89.4339809,"Illinois, United States of America",Illinois
billy owens,40.9699889,-77.7278831,"Pennsylvania, United States of America",Pennsylvania
billy paultz,40.0757384,-74.4041622,"New Jersey, United States of America",New Jersey
billy ray bates,32.9715645,-89.7348497,"Mississippi, United States of America",Mississippi
billy reid,40.7306458,-73.9866136,"NYC, New York, United States of America",New York
billy thomas,30.8703881,-92.007126,"Louisiana, United States of America",Louisiana
billy thompson,40.0757384,-74.4041622,"New Jersey, United States of America",New Jersey
bimbo coles,37.1232245,-78.4927721,"Virginia, United States of America",Virginia
bingo smith,35.7730076,-86.2820081,"Tennessee, United States of America",Tennessee
bird averitt,37.5726028,-85.1551411,"Kentucky, United States of America",Kentucky
bismack biyombo,-15.4139213,28.289698,"Democratic Republic Of Congo, Parirenyetwa Road, Fairview, Lusaka, Lusaka Province, 1010, Zambia",Democratic Republic of the Congo
bison dele,36.7014631,-118.7559974,"California, United States of America",California
bj armstrong,43.6211955,-84.6824346,"Michigan, United States of America",Michigan
bj tyler,31.8160381,-99.5120986,"Texas, United States of America",Texas
blackie towery,37.5726028,-85.1551411,"Kentucky, United States of America",Kentucky
blair rasmussen,38.8949549,-77.0366456,"Washington, District of Columbia, United States of America",Washington
blake ahearn,38.7604815,-92.5617875,"Missouri, United States of America",Missouri
blake griffin,34.9550817,-97.2684063,"Oklahoma, United States of America",Oklahoma
blue edwards,38.8949549,-77.0366456,"Washington, District of Columbia, United States of America",District of Columbia
bo ellis,40.0796319,-89.4339809,"Illinois, United States of America",Illinois
bo erias,40.7306458,-73.9866136,"NYC, New York, United States of America",New York
bo kimble,40.9699889,-77.7278831,"Pennsylvania, United States of America",Pennsylvania
bo lamar,40.2253569,-82.6881395,"Ohio, United States of America",Ohio
bo outlaw,31.8160381,-99.5120986,"Texas, United States of America",Texas
bob anderegg,44.4308975,-89.6884637,"Wisconsin, United States of America",Wisconsin
bob armstrong,43.6211955,-84.6824346,"Michigan, United States of America",Michigan
bob arnzen,37.5726028,-85.1551411,"Kentucky, United States of America",Kentucky
bob bigelow,42.3788774,-72.032366,"Massachusetts, United States of America",Massachusetts
bob boozer,41.7370229,-99.5873816,"Nebraska, United States of America",Nebraska
bob brown,40.2253569,-82.6881395,"Ohio, United States of America",Ohio
bob burrow,35.2048883,-92.4479108,"Arkansas, United States of America",Arkansas
bob carrington,42.3788774,-72.032366,"Massachusetts, United States of America",Massachusetts
bob cousy,40.7306458,-73.9866136,"NYC, New York, United States of America",New York
bob dandridge,37.1232245,-78.4927721,"Virginia, United States of America",Virginia
bob davies,40.9699889,-77.7278831,"Pennsylvania, United States of America",Pennsylvania
bob doll,38.7251776,-105.6077167,"Colorado, United States of America",Colorado
bob duffy,40.7306458,-73.9866136,"NYC, New York, United States of America",New York
bob elliott,43.6211955,-84.6824346,"Michigan, United States of America",Michigan
bob evans,40.3270127,-86.1746933,"Indiana, United States of America",Indiana
bob feerick,36.7014631,-118.7559974,"California, United States of America",California
bob ferry,38.7604815,-92.5617875,"Missouri, United States of America",Missouri
bob gross,36.7014631,-118.7559974,"California, United States of America",California
bob hansen,41.9216734,-93.3122705,"Iowa, United States of America",Iowa
bob harris,35.7730076,-86.2820081,"Tennessee, United States of America",Tennessee
bob hopkins,30.8703881,-92.007126,"Louisiana, United States of America",Louisiana
bob houbregs,61.0666922,-107.9917071,Canada,Canada
bob kauffman,40.7306458,-73.9866136,"NYC, New York, United States of America",New York
bob kinney,38.27312,-98.5821872,"Kansas, United States of America",Kansas
bob lanier,40.7306458,-73.9866136,"NYC, New York, United States of America",New York
bob lavoy,40.0796319,-89.4339809,"Illinois, United States of America",Illinois
bob love,30.8703881,-92.007126,"Louisiana, United States of America",Louisiana
bob martin,45.9896587,-94.6113288,"Minnesota, United States of America",Minnesota
bob mcadoo,35.6729639,-79.0392919,"North Carolina, United States of America",North Carolina
bob mccann,40.0757384,-74.4041622,"New Jersey, United States of America",New Jersey
bob mcneill,40.9699889,-77.7278831,"Pennsylvania, United States of America",Pennsylvania
bob miller,37.5726028,-85.1551411,"Kentucky, United States of America",Kentucky
bob nash,41.6500201,-72.7342163,"Connecticut, United States of America",Connecticut
bob peterson,36.7014631,-118.7559974,"California, United States of America",California
bob pettit,30.8703881,-92.007126,"Louisiana, United States of America",Louisiana
bob portman,36.7014631,-118.7559974,"California, United States of America",California
bob quick,32.9715645,-89.7348497,"Mississippi, United States of America",Mississippi
bob rule,36.7014631,-118.7559974,"California, United States of America",California
bob santini,40.7306458,-73.9866136,"NYC, New York, United States of America",New York
bob sura,40.9699889,-77.7278831,"Pennsylvania, United States of America",Pennsylvania
bob thornton,36.7014631,-118.7559974,"California, United States of America",California
bob tough,40.7306458,-73.9866136,"NYC, New York, United States of America",New York
bob verga,40.0757384,-74.4041622,"New Jersey, United States of America",New Jersey
bob warlick,35.6729639,-79.0392919,"North Carolina, United States of America",North Carolina
bob weiss,40.9699889,-77.7278831,"Pennsylvania, United States of America",Pennsylvania
bob wilkerson,40.3270127,-86.1746933,"Indiana, United States of America",Indiana
bob wood,44.4308975,-89.6884637,"Wisconsin, United States of America",Wisconsin
boban marjanovic,44.1534121,20.55144,Србија,Serbia
bobby brown,36.7014631,-118.7559974,"California, United States of America",California
bobby cattage,33.2588817,-86.8295337,"Alabama, United States of America",Alabama
bobby hurley,40.0757384,-74.4041622,"New Jersey, United States of America",New Jersey
bobby jackson,35.6729639,-79.0392919,"North Carolina, United States of America",North Carolina
bobby jones,36.7014631,-118.7559974,"California, United States of America",California
bobby phills,30.8703881,-92.007126,"Louisiana, United States of America",Louisiana
bobby portis,35.2048883,-92.4479108,"Arkansas, United States of America",Arkansas
bobby simmons,40.0796319,-89.4339809,"Illinois, United States of America",Illinois
bobby wanzer,40.7306458,-73.9866136,"NYC, New York, United States of America",New York
bobby watson,37.5726028,-85.1551411,"Kentucky, United States of America",Kentucky
bobby wilson,40.3270127,-86.1746933,"Indiana, United States of America",Indiana
bogdan bogdanovic,44.1534121,20.55144,Србија,Serbia
bojan bogdanovic,44.3053476,17.5961467,Bosna i Hercegovina / Босна и Херцеговина,Bosnia and Herzegovina
bones mckinney,35.6729639,-79.0392919,"North Carolina, United States of America",North Carolina
boniface ndong,14.4750607,-14.4529612,Sénégal,Senegal
bonzi wells,40.3270127,-86.1746933,"Indiana, United States of America",Indiana
boris diaw,46.603354,1.8883335,"France métropolitaine, France",France
bostjan nachbar,45.8133113,14.4808369,Slovenija,Slovenia
bracey wright,31.8160381,-99.5120986,"Texas, United States of America",Texas
brad branson,40.0796319,-89.4339809,"Illinois, United States of America",Illinois
brad daugherty,35.6729639,-79.0392919,"North Carolina, United States of America",North Carolina
brad davis,40.9699889,-77.7278831,"Pennsylvania, United States of America",Pennsylvania
brad holland,47.3752671,-109.6387579,"Montana, United States of America",Montana
brad lohaus,45.9896587,-94.6113288,"Minnesota, United States of America",Minnesota
